Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
compas,Reweighing: sex,1,0,1,1,2,1,2,4,3
compas,Reweighing: race,1,0,0,3,3,3,0,1,0
compas,Fair-SMOTE: sex,0,1,5,1,1,0,0,2,1
compas,Fair-SMOTE: race,0,1,4,3,3,3,0,1,0
compas,AdversialDebiasing: sex,1,0,3,5,5,5,3,5,4
compas,AdversialDebiasing: race,1,0,3,2,3,2,1,3,2
compas,RejectOptionClassification: sex,0,1,6,0,1,0,3,5,4
compas,RejectOptionClassification: race,0,1,6,4,4,4,0,1,0
compas,FairBalance,1,1,2,0,1,1,0,1,0
compas,FairBalanceClass,0,1,2,0,0,0,0,0,0
adult,Reweighing: sex,5,2,0,0,0,1,2,3,3
adult,Reweighing: race,6,0,1,2,2,4,1,0,0
adult,Fair-SMOTE: sex,2,6,7,0,0,3,3,4,5
adult,Fair-SMOTE: race,0,4,7,3,1,5,1,0,2
adult,AdversialDebiasing: sex,4,1,4,1,0,3,2,3,3
adult,AdversialDebiasing: race,6,0,4,2,2,4,1,0,0
adult,RejectOptionClassification: sex,3,6,6,1,0,0,2,2,4
adult,RejectOptionClassification: race,1,5,5,4,1,6,1,1,0
adult,FairBalance,4,2,3,0,0,2,0,0,0
adult,FairBalanceClass,2,3,2,0,0,3,1,0,1
german,Reweighing: sex,3,0,0,1,1,1,2,2,3
german,Reweighing: age,4,0,0,1,1,1,0,1,0
german,Fair-SMOTE: sex,0,1,3,1,1,2,2,2,2
german,Fair-SMOTE: age,1,1,4,1,1,2,1,1,1
german,AdversialDebiasing: sex,2,0,2,3,3,3,2,3,3
german,AdversialDebiasing: age,2,1,2,2,2,2,3,4,3
german,RejectOptionClassification: sex,0,1,5,1,1,2,2,2,3
german,RejectOptionClassification: age,1,1,5,2,1,2,1,1,1
german,FairBalance,4,0,1,0,0,0,0,0,0
german,FairBalanceClass,1,1,1,1,1,2,1,1,1
